zipcode,avg_weighted_cost
60406,1.6979214272153814e-07
60605,1.0972106107817828e-08
60607,2.2533957412820467e-08
60608,1.361760226407793e-08
60609,6.988076490317499e-08
60611,5.9863644069881154e-09
60612,5.320300363115905e-09
60613,8.716401794741574e-09
60614,6.167761089371373e-09
60615,3.3827504309073585e-08
60616,2.4334995652040726e-08
60617,1.1377770022036593e-08
60618,2.9101208616743867e-08
60619,2.9115959377490766e-08
60620,4.066521349247819e-09
60621,9.198169695889842e-09
60622,6.5302529983824905e-09
60623,3.058131389396159e-08
60624,4.507220606614243e-08
60625,7.481502550315913e-09
60628,2.821110767659406e-09
60629,3.9018404575029595e-09
60630,1.0742207965864387e-08
60631,6.851422771084987e-08
60632,3.475740824337805e-09
60633,6.919954065404898e-07
60634,1.8424981124139228e-08
60636,4.164756075695957e-08
60637,4.1256010002756674e-08
60638,4.769227813370073e-08
60639,6.577910495773725e-09
60640,2.8686210552585958e-08
60641,1.9282188216359205e-08
60643,1.2012972012290313e-08
60644,3.1392658774050607e-09
60645,5.134996183387286e-09
60646,2.3411456827710328e-07
60647,8.9560562303939e-09
60649,4.598122485974729e-09
60651,4.267395400968665e-09
60652,3.61255942804114e-09
60653,4.72775107115009e-08
60655,2.5631513954808035e-07
60660,1.6517594903195228e-08
60661,1.6878396837488647e-08
60666,9.065806100265739e-07
60696,5.977034855413495e-09
60706,3.162217203875409e-07
60707,4.6264847137620366e-08
60827,4.973625373679136e-07
